"Resource","Method","HttpMethod","UrlTemplate","InputType","ReturnType"
"MixedReceiptsMain","GetInternalByParam","GET","/api/v2/MixedReceiptsMain/GetInternalByParam","MixedReceiptsMainParam","TResult`1"
"MixedReceiptsMain","PostInternal","POST","/api/v2/MixedReceiptsMain","MixedReceiptsMain","TResult`1"
"MixedReceiptsMain","DeleteInternalById","DELETE","/api/v2/MixedReceiptsMain","String","TResult`1"
"MixedReceiptsMain","DeleteInternalByParam","DELETE","/api/v2/MixedReceiptsMain/DeleteInternalByParam","MixedReceiptsMainParam","TResult`1"
"Mrp","Describe","POST","/api/v2/Mrp/Describe","","String"
"Mrp","PrepareRequisitionBalancing","POST","/api/v2/Mrp/PrepareRequisitionBalancing","RequisitionBalancingPrm","TResult`1"
"Mrp","SaveRequisitionBalancing","POST","/api/v2/Mrp/SaveRequisitionBalancing","SaveRequisitionBalancingParam","TResult`1"
"Mrp","BalanceAllRequisitions","POST","/api/v2/Mrp/BalanceAllRequisitions","RequisitionBalancingPrm","TResult`1"
"Mrp","GenerateRequirementPlan","POST","/api/v2/Mrp/GenerateRequirementPlan","JMrpGereksinimPlanOlusturPrm","TResult`1"
"Mrp","MaterialRequirementsPlanning","POST","/api/v2/Mrp/MaterialRequirementsPlanning","JMrp","TResult`1"
"Mrp","PrepareProductionOrderBalancing","POST","/api/v2/Mrp/PrepareProductionOrderBalancing","ProductionOrderBalancingPrm","TResult`1"
"Mrp","SaveProductionOrderBalancing","POST","/api/v2/Mrp/SaveProductionOrderBalancing","SaveProductionOrderBalancingParam","TResult`1"
"Mrp","BalanceAllProductionOrders","POST","/api/v2/Mrp/BalanceAllProductionOrders","ProductionOrderBalancingPrm","TResult`1"
"Mrp","PrepareOrderBalancing","POST","/api/v2/Mrp/PrepareOrderBalancing","OrderBalancingPrm","TResult`1"
"Mrp","SaveOrderBalancing","POST","/api/v2/Mrp/SaveOrderBalancing","SaveOrderBalancingParam","TResult`1"
"Mrp","BalanceAllOrders","POST","/api/v2/Mrp/BalanceAllOrders","OrderBalancingPrm","TResult`1"
"Notification","Describe","POST","/api/v2/Notification/Describe","","String"
"Notification","PostInternal","POST","/api/v2/Notification","Notification","TResult`1"
"Operations","LogOut","POST","/api/v2/Operations/LogOut","","TResult`1"
"Operations","Ping","POST","/api/v2/Operations/Ping","","TResult`1"
"Operations","BeginTransaction","POST","/api/v2/Operations/BeginTransaction","","TResult`1"
"Operations","RoolBackTransaction","POST","/api/v2/Operations/RoolBackTransaction","String","TResult`1"
"Operations","CommitTransaction","POST","/api/v2/Operations/CommitTransaction","String","TResult`1"
"PlanningRecord","Describe","POST","/api/v2/PlanningRecord/Describe","","String"
"PlanningRecord","GetInternal","GET","/api/v2/PlanningRecord","SelectFilter","TSelectData`1"
"PlanningRecord","PostInternal","POST","/api/v2/PlanningRecord","PlanningRecord","TResult`1"
"PlanningRecord","PutInternal","PUT","/api/v2/PlanningRecord","String, PlanningRecord","TResult`1"
"PlanningRecord","GetItemPlanningRecord","GET","/api/v2/PlanningRecord/GetItemPlanningRecord","String","TResult`1"
"PlanningRecord","GetCurAccPlanningRecord","GET","/api/v2/PlanningRecord/GetCurAccPlanningRecord","String","TResult`1"
"PlanningRecord","GetCustomerSupplierItemPlanningRecord","GET","/api/v2/PlanningRecord/GetCustomerSupplierItemPlanningRecord","String","TResult`1"
"PlanningRecord","DeleteItemPlanningRecord","DELETE","/api/v2/PlanningRecord/DeleteItemPlanningRecord","ItemPlanningRecordParam","TResult`1"
"PlanningRecord","DeleteCurAccPlanningRecord","DELETE","/api/v2/PlanningRecord/DeleteCurAccPlanningRecord","CurAccPlanningRecordParam","TResult`1"
